device,tau,experiment,stratification,kernel,counter,label,native_counter,n,spearman_rho,undefined_reason
H100,expert,3,temporal,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.4612258513531831,
H100,expert,3,temporal,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.864189113783154,
H100,expert,3,temporal,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9220005239749552,
H100,expert,3,temporal,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9006138937473716,
H100,l1_to_l2,1,all,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.45448695161429536,
H100,l1_to_l2,1,all,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7208136553140797,
H100,l1_to_l2,1,all,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.08866426920838455,
H100,l1_to_l2,1,all,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.5782837425831991,
H100,l1_to_l2,1,all,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7081366818716319,
H100,l1_to_l2,1,all,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.23103441042133865,
H100,l1_to_l2,1,all,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.627842570027171,
H100,l1_to_l2,1,all,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.35673818804387813,
H100,l1_to_l2,1,all,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.42308317733775774,
H100,l1_to_l2,1,all,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9562643485986535,
H100,l1_to_l2,1,all,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8068231780741951,
H100,l1_to_l2,1,all,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.5081687392060589,
H100,l1_to_l2,1,all,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.8714007531364192,
H100,l1_to_l2,1,all,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8845523825236298,
