device,tau,experiment,stratification,counter,label,median_spearman_rho,defined_kernels
MI300A,speedup,1,temporal,l1_to_l2_total_requests,TCP→TCC total,-0.7555179390225403,3
MI300A,speedup,1,temporal,l2_tag_requests,TCC tag requests,-0.7581704346840618,3
MI300A,speedup,1,temporal,second_level_read_requests,TCC reads,-0.7589553139263432,3
MI300A,speedup,1,temporal,l2_hits,TCC hits,-0.7573014237241298,3
MI300A,speedup,1,temporal,l2_misses,TCC misses,-0.18579694904834443,3
MI300A,speedup,1,temporal,l2_hit_rate_percent,TCC hit rate,-0.7572300716370604,3
MI300A,speedup,2,all,l1_to_l2_read_requests,TCP→TCC reads,-0.7023437156872321,3
MI300A,speedup,2,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,2,all,l1_to_l2_total_requests,TCP→TCC total,-0.7023437156872321,3
MI300A,speedup,2,all,l2_tag_requests,TCC tag requests,-0.7085025533792968,3
MI300A,speedup,2,all,second_level_read_requests,TCC reads,-0.7029642134560884,3
MI300A,speedup,2,all,l2_hits,TCC hits,-0.708057984374206,3
MI300A,speedup,2,all,l2_misses,TCC misses,-0.11830787319735893,3
MI300A,speedup,2,all,l2_hit_rate_percent,TCC hit rate,-0.7032218982850679,3
MI300A,speedup,2,issue,l1_to_l2_read_requests,TCP→TCC reads,-0.7352409733240511,3
MI300A,speedup,2,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,2,issue,l1_to_l2_total_requests,TCP→TCC total,-0.7352409733240511,3
MI300A,speedup,2,issue,l2_tag_requests,TCC tag requests,-0.7413623301799258,3
MI300A,speedup,2,issue,second_level_read_requests,TCC reads,-0.7320444950214534,3
MI300A,speedup,2,issue,l2_hits,TCC hits,-0.7410285293561514,3
MI300A,speedup,2,issue,l2_misses,TCC misses,-0.15179237510510202,3
MI300A,speedup,2,issue,l2_hit_rate_percent,TCC hit rate,-0.7410794259380958,3
MI300A,speedup,2,temporal,l1_to_l2_read_requests,TCP→TCC reads,-0.7328664047418049,3
MI300A,speedup,2,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,2,temporal,l1_to_l2_total_requests,TCP→TCC total,-0.7328664047418049,3
MI300A,speedup,2,temporal,l2_tag_requests,TCC tag requests,-0.7469314671687102,3
MI300A,speedup,2,temporal,second_level_read_requests,TCC reads,-0.7301080167700901,3
MI300A,speedup,2,temporal,l2_hits,TCC hits,-0.7452175467631531,3
MI300A,speedup,2,temporal,l2_misses,TCC misses,-0.15904753669554061,3
MI300A,speedup,2,temporal,l2_hit_rate_percent,TCC hit rate,-0.74549657270131,3
MI300A,speedup,3,all,l1_to_l2_read_requests,TCP→TCC reads,-0.27798252901462683,3
MI300A,speedup,3,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,3,all,l1_to_l2_total_requests,TCP→TCC total,-0.27798252901462683,3
MI300A,speedup,3,all,l2_tag_requests,TCC tag requests,-0.26864132676873964,3
MI300A,speedup,3,all,second_level_read_requests,TCC reads,-0.2597325342673752,3
MI300A,speedup,3,all,l2_hits,TCC hits,-0.26236830374473574,3
MI300A,speedup,3,all,l2_misses,TCC misses,-0.05635964240173152,3
MI300A,speedup,3,all,l2_hit_rate_percent,TCC hit rate,-0.26287351832921213,3
MI300A,speedup,3,issue,l1_to_l2_read_requests,TCP→TCC reads,-0.2332878662349787,3
MI300A,speedup,3,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,3,issue,l1_to_l2_total_requests,TCP→TCC total,-0.2332878662349787,3
MI300A,speedup,3,issue,l2_tag_requests,TCC tag requests,-0.20985937545644232,3
MI300A,speedup,3,issue,second_level_read_requests,TCC reads,-0.18820582864522017,3
MI300A,speedup,3,issue,l2_hits,TCC hits,-0.20302500944782928,3
MI300A,speedup,3,issue,l2_misses,TCC misses,-0.006579439204730479,3
MI300A,speedup,3,issue,l2_hit_rate_percent,TCC hit rate,-0.2014723266730151,3
MI300A,speedup,3,temporal,l1_to_l2_read_requests,TCP→TCC reads,-0.18297727227523938,3
MI300A,speedup,3,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,3,temporal,l1_to_l2_total_requests,TCP→TCC total,-0.18297727227523938,3
MI300A,speedup,3,temporal,l2_tag_requests,TCC tag requests,-0.1792329645620036,3
MI300A,speedup,3,temporal,second_level_read_requests,TCC reads,-0.17942285380892758,3
MI300A,speedup,3,temporal,l2_hits,TCC hits,-0.18322998590045936,3
MI300A,speedup,3,temporal,l2_misses,TCC misses,-0.03790356441902995,3
MI300A,speedup,3,temporal,l2_hit_rate_percent,TCC hit rate,-0.1834798275995692,3
