platform,case,exp,tau,status,proposal,deployed,baseJ,proposedJ,accepted,baseline_us,speedup,identity_max_deviation,rejections,exclusion,path
matrix,softmax--small,5,expert,complete,0,0,0.0,0.0,True,4.368639886379242,1.0002932845960446,0.0005863427997550019,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/softmax--small/report.json
matrix,sum--large,5,expert,failed,0,,,,,0,,,null,"{""category"": ""search"", ""message"": ""FileNotFoundError: [Errno 2] No such file or directory: '/usr/WS1/dnicho/record-replay/relay/triton/experiments/results/search-v2/shared/matrix/sum--large/capture.json'""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/sum--large/report.json
matrix,sum--small,5,expert,complete,1,0,0.30000000000000004,0.0,False,10.558719635009766,0.9997981567827661,0.0005460022735026548,"[""instruction count increased by more than the declared 10% budget""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/sum--small/report.json
matrix,template_attention--default,5,expert,incomplete,0,,,,,0,,,null,"{""category"": ""preflight_incomplete"", ""message"": ""Preflight did not finish; inspect the recorded scheduler job/log before retrying""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/template_attention--default/report.json
matrix,vector_add--large,5,expert,complete,0,0,0.0,0.0,True,261.2351989746094,1.000339844381434,0.0006742104493706602,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/vector_add--large/report.json
matrix,vector_add--small,5,expert,complete,0,0,0.0,0.0,True,1.531520038843155,1.0005613984244919,0.0020885705638274965,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/vector_add--small/report.json
matrix,vector_exp--large,5,expert,complete,0,0,0.0,0.0,True,177.64095306396484,0.9982472742495092,0.0008783814952009195,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/vector_exp--large/report.json
matrix,vector_exp--small,5,expert,complete,0,0,0.0,0.0,True,1.4892800152301788,1.0008399077744845,0.008027099243098856,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/vector_exp--small/report.json
tuolumne,bf16xint16_gemm--output,5,expert,prepared,1,,0.5,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/bf16xint16_gemm--output/report.json
tuolumne,bf16xint16_gemm--projection,5,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/bf16xint16_gemm--projection/report.json
tuolumne,fp8_gemm--large,5,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/fp8_gemm--large/report.json
tuolumne,fp8_gemm--small,5,expert,validated,2,0,0.9500000000000001,0.0,False,0,,,"[""n_regs increased: 60 -> 63"", ""load_instruction_count increased: 13 -> 19"", ""execution layout encodings changed"", ""instruction count increased by more than the declared 10% budget"", ""matrix instruction forms changed"", ""lowered memory instruction widths/counts changed"", ""matrix instruction count changed""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/fp8_gemm--small/report.json
tuolumne,gather_gemv--large,5,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/gather_gemv--large/report.json
tuolumne,gather_gemv--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/gather_gemv--small/report.json
tuolumne,gemm--asymmetric,5,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/gemm--asymmetric/report.json
tuolumne,gemm--square,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/gemm--square/report.json
tuolumne,int4_gemm--decode,5,expert,validated,0,0,0.24583333333333332,0.24583333333333332,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/int4_gemm--decode/report.json
tuolumne,int4_gemm--prefill,5,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/int4_gemm--prefill/report.json
tuolumne,jagged_mean--large,5,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/jagged_mean--large/report.json
tuolumne,jagged_mean--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/jagged_mean--small/report.json
tuolumne,jagged_softmax--large,5,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/jagged_softmax--large/report.json
tuolumne,jagged_softmax--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/jagged_softmax--small/report.json
tuolumne,jagged_sum--large,5,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/jagged_sum--large/report.json
tuolumne,jagged_sum--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/jagged_sum--small/report.json
tuolumne,layer_norm--large,5,expert,prepared,0,,0.0,0.0,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/layer_norm--large/report.json
tuolumne,layer_norm--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/layer_norm--small/report.json
tuolumne,low_mem_dropout--large,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/low_mem_dropout--large/report.json
tuolumne,low_mem_dropout--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/low_mem_dropout--small/report.json
tuolumne,softmax--large,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/softmax--large/report.json
tuolumne,softmax--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/softmax--small/report.json
tuolumne,sum--large,5,expert,failed,0,,,,,0,,,null,"{""category"": ""search"", ""message"": ""FileNotFoundError: [Errno 2] No such file or directory: '/usr/WS1/dnicho/record-replay/relay/triton/experiments/results/search-v2/shared/tuolumne/sum--large/capture.json'""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/sum--large/report.json
tuolumne,sum--small,5,expert,validated,1,0,0.30000000000000004,0.0,False,0,,,"[""n_regs increased: 8 -> 11"", ""execution layout encodings changed"", ""instruction count increased by more than the declared 10% budget""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/sum--small/report.json
tuolumne,template_attention--default,5,expert,running,0,,,,,0,,,null,null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/template_attention--default/report.json
tuolumne,vector_add--large,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/vector_add--large/report.json
tuolumne,vector_add--small,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/vector_add--small/report.json
tuolumne,vector_exp--large,5,expert,validated,0,0,0.0,0.0,True,0,,,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/tuolumne/vector_exp--large/report.json
